Time,Distance
0.0,2.9946563243865967
0.012,2.9962499141693115
0.032,2.9965155124664307
0.044,2.9962499141693115
0.059,2.9957187175750732
0.075,2.9962499141693115
0.094,2.9962499141693115
0.109,2.9957187175750732
0.121,2.9962499141693115
0.139,2.9957187175750732
0.163,2.9959843158721924
0.188,2.9946563243865967
0.207,3.4106249809265137
0.228,3.0546875
0.254,3.0546875
0.271,3.054953098297119
0.295,3.4701249599456787
0.306,3.114187479019165
0.32,3.114187479019165
0.349,3.1136562824249268
0.37,3.5296249389648438
0.387,3.17368745803833
0.404,3.1728906631469727
0.418,3.1720938682556152
0.435,3.1728906631469727
0.455,3.1726250648498535
0.468,3.173421859741211
0.484,3.5883281230926514
0.501,3.232921838760376
0.529,3.7070624828338623
0.554,3.2913594245910645
0.573,3.351656198501587
0.593,3.352187395095825
0.606,3.4106249809265137
0.619,3.409562587738037
0.641,3.470390558242798
0.654,3.470390558242798
0.666,3.470656156539917
0.683,3.5288281440734863
0.704,3.529890537261963
0.717,3.5290937423706055
0.734,3.530156135559082
0.76,3.530156135559082
0.786,3.5296249389648438
0.804,3.944531202316284
0.826,4.003234386444092
0.853,3.589124917984009
0.869,3.5888593196868896
0.89,3.5880625247955322
0.904,3.587796926498413
0.919,3.944265604019165
0.94,3.9450623989105225
0.954,3.944531202316284
0.968,4.00376558303833
0.99,3.6483592987060547
1.003,4.0637969970703125
1.017,3.708125114440918
1.034,4.18359375
1.055,3.886093854904175
1.068,3.9432032108306885
1.084,4.480297088623047
1.109,4.182796955108643
1.135,4.123296737670898
1.15,4.062734603881836
1.172,3.8858280181884766
1.2,3.944265604019165
1.216,4.004827976226807
1.241,4.122234344482422
1.264,4.241499900817871
1.283,4.300468921661377
1.305,4.301000118255615
1.32,4.301000118255615
1.335,4.65667200088501
1.351,4.537140846252441
1.364,4.479499816894531
1.38,4.004031181335449
1.396,3.94559383392334
1.418,3.8852968215942383
1.43,3.886093854904175
1.447,3.9453282356262207
1.466,4.004827976226807
1.48,4.41867208480835
1.497,4.420796871185303
1.524,4.0045623779296875
1.549,3.886093854904175
1.567,3.825265645980835
1.589,4.181468963623047
1.602,4.180671691894531
1.616,3.8244688510894775
1.638,3.825265645980835
1.65,3.8265936374664307
1.665,4.181468963623047
1.683,3.76576566696167
1.705,4.181734561920166
1.718,4.122499942779541
1.732,4.122499942779541
1.751,3.7647030353546143
1.763,3.765500068664551
1.78,4.181734561920166
1.798,3.706796884536743
1.82,3.6478281021118164
1.832,3.6478281021118164
1.847,3.6483592987060547
1.873,4.12276554107666
1.896,4.12276554107666
1.914,3.766296863555908
1.937,4.181468963623047
1.952,3.76576566696167
1.968,3.7681562900543213
1.986,3.7668280601501465
2.0,4.180406093597412
2.012,3.8263280391693115
2.03,3.886093854904175
2.052,3.885031223297119
2.068,3.944265604019165
2.081,3.9434688091278076
2.101,3.944000005722046
2.113,4.359437465667725
2.129,4.004296779632568
2.146,4.004296779632568
2.168,4.478703022003174
2.181,4.064328193664551
2.198,4.062468528747559
2.219,4.479499816894531
2.231,4.478703022003174
2.246,4.123296737670898
2.263,4.124359607696533
2.285,4.538734436035156
2.297,4.53767204284668
2.315,4.182531356811523
2.336,4.181734561920166
2.348,4.183062553405762
2.362,4.1812028884887695
2.384,4.180671691894531
2.397,4.181734561920166
2.409,4.596640586853027
2.427,4.120375156402588
2.446,4.1214375495910645
2.46,4.12276554107666
2.477,4.5374064445495605
2.505,4.5374064445495605
2.528,4.1214375495910645
2.545,4.12276554107666
2.568,4.182000160217285
2.595,4.774875164031982
2.612,4.715374946594238
2.636,6.020124912261963
2.661,7.149031162261963
2.677,8.869483947753906
2.702,11.184671401977539
2.726,14.386781692504883
2.743,16.2302188873291
