0.000,	0.021
0.000,	0.021
0.000,	0.021
0.000,	0.023
0.001,	0.063
0.001,	0.252
0.002,	0.546
0.003,	0.857
0.004,	1.194
0.005,	1.548
0.006,	1.903
0.007,	2.244
0.008,	2.600
0.009,	2.962
0.009,	3.299
0.010,	3.633
0.011,	3.979
0.012,	4.322
