0.001587,	7.861703
0.053334,	8.989812
0.105023,	9.851500
0.156794,	10.261891
0.208496,	10.105703
0.260155,	9.343359
0.311738,	8.215781
0.363331,	6.940516
0.414792,	5.309312
0.466151,	4.692797
0.517478,	3.622859
0.568808,	3.929391
0.620141,	4.491453
0.671573,	5.614516
0.723110,	7.198969
0.774743,	8.882766
0.826475,	10.411703
0.878318,	11.534766
0.930117,	11.994828
0.981897,	11.697594
1.033613,	11.177500
1.085316,	9.344156
1.136844,	7.708172
1.188322,	6.178172
1.239706,	4.900250
1.291030,	3.625250
1.342403,	3.879984
1.393773,	4.339250
1.445198,	4.952844
1.496691,	6.788844
1.548389,	8.270766
1.600055,	9.651219
1.651792,	11.129953
1.703576,	11.124109
1.755372,	10.828203
1.807049,	9.796516
1.858659,	8.266516
1.910146,	6.174984
1.961582,	5.254859
2.012928,	4.287719
2.064362,	3.825797
2.115714,	3.930453
2.167123,	4.642062
2.218570,	5.769109
2.270225,	7.148500
2.321871,	8.684609
2.373693,	10.007156
2.425493,	11.333687
2.477376,	11.545391
2.529173,	10.980141
2.580868,	9.497422
2.632789,	8.014437
2.684367,	6.635844
2.736103,	4.901047
2.787678,	4.286391
2.839111,	3.624719
2.890546,	3.573984
2.941893,	4.187312
2.993612,	5.411313
3.045147,	6.994969
3.097039,	8.626437
3.148825,	10.561781
3.200908,	11.536625
3.253359,	11.799328
3.305292,	10.820234
3.357261,	9.600219
3.409164,	8.113516
3.460656,	6.176578
3.512250,	5.157375
3.563631,	3.623125
3.614959,	3.468000
3.666687,	3.623922
3.718068,	4.029266
3.769498,	5.358984
3.821040,	7.346391
3.872689,	8.883297
3.924450,	10.207703
3.976297,	11.384953
4.028043,	10.930734
4.079753,	10.006359
4.131376,	8.371438
4.182925,	6.586703
4.234432,	4.440719
4.286036,	3.521391
4.337492,	2.756125
4.388823,	2.552125
4.440310,	3.012719
4.491679,	3.674125
4.543182,	5.664984
4.594766,	7.353031
4.646630,	9.038156
4.698402,	10.467750
4.750438,	11.846344
4.802377,	12.143047
4.854351,	11.583375
4.906503,	9.755344
4.958350,	8.016297
5.010030,	6.381906
5.061696,	5.000656
5.113079,	3.980922
