0.000000,	-2.194128,	-0.377036

0.040000,	-2.225767,	-0.281182

0.080000,	-2.257566,	-0.217273

0.120000,	-2.225147,	-0.153360

0.160000,	-2.256799,	-0.057482

0.200000,	-2.224379,	0.006442

0.240000,	-2.224074,	0.070372

0.280000,	-2.255738,	0.166274

0.320000,	-2.319679,	0.230214

0.360000,	-2.222865,	0.326134

0.400000,	-2.190439,	0.390086

0.440000,	-2.158010,	0.454043

0.480000,	-2.125578,	0.518004

0.520000,	-2.125127,	0.613955

0.560000,	-2.092691,	0.677927

0.600000,	-2.060102,	0.773895

0.640000,	-1.995667,	0.805887

0.680000,	-1.995215,	0.901868

0.720000,	-1.962766,	0.965861

0.760000,	-1.866164,	0.997860

0.800000,	-1.865706,	1.093862

0.840000,	-1.769085,	1.125865

0.880000,	-1.736462,	1.221881

0.920000,	-1.703991,	1.285897

0.960000,	-1.607339,	1.317907

1.000000,	-1.606870,	1.413944

1.040000,	-1.510199,	1.445958

1.080000,	-1.509726,	1.542008

1.120000,	-1.381017,	1.542008

1.160000,	-1.316495,	1.574027

1.200000,	-1.251803,	1.638069

1.240000,	-1.187267,	1.670092

1.280000,	-1.122558,	1.734140

1.320000,	-1.057841,	1.798193

1.360000,	-0.961254,	1.798193

1.400000,	-0.896688,	1.830221

1.440000,	-0.864317,	1.862251

1.480000,	-0.735331,	1.894281

1.520000,	-0.670743,	1.926313

1.560000,	-0.541904,	1.926313

1.600000,	-0.412870,	1.958346

1.640000,	-0.380654,	1.958346

1.680000,	-0.316035,	1.990380

1.720000,	-0.187153,	1.990380

1.760000,	-0.122706,	1.990380

1.800000,	-0.058066,	2.022415

1.840000,	0.038424,	1.990380

1.880000,	0.006389,	2.022415

1.920000,	0.231809,	1.990380

1.960000,	0.296278,	1.990380

2.000000,	0.360749,	1.990380

2.040000,	0.489497,	1.958346

2.080000,	0.553978,	1.958346

2.120000,	0.618252,	1.926313

2.160000,	0.682737,	1.926313

2.200000,	0.779258,	1.894281

2.240000,	0.875780,	1.862251

2.280000,	0.972305,	1.830221

2.320000,	1.036582,	1.798193

2.360000,	1.068832,	1.798193

2.400000,	1.197388,	1.734140

2.440000,	1.261665,	1.702115

2.480000,	1.357964,	1.638069

2.520000,	1.389986,	1.606048

2.560000,	1.486279,	1.542008

2.600000,	1.550790,	1.542008

2.640000,	1.614825,	1.477974

2.680000,	1.678855,	1.413944

2.720000,	1.710868,	1.381930

2.760000,	1.774891,	1.317907

2.800000,	1.838910,	1.253888

2.840000,	1.902924,	1.189874

2.880000,	1.966933,	1.125865

2.920000,	2.030428,	0.997860

2.960000,	1.998174,	0.997860

3.000000,	2.062169,	0.933864

3.040000,	2.093907,	0.869873

3.080000,	2.157633,	0.773895

3.120000,	2.157110,	0.709915

3.160000,	2.188835,	0.645940

3.200000,	2.220557,	0.581970

3.240000,	2.252008,	0.486023

3.280000,	2.251475,	0.422064

3.320000,	2.250941,	0.358109

3.360000,	2.250405,	0.294160

3.400000,	2.281839,	0.198244

3.440000,	2.313538,	0.134305

3.480000,	2.312723,	0.038406

3.520000,	2.312178,	-0.025520

3.560000,	2.279399,	-0.089443

3.600000,	2.214122,	-0.185317

3.640000,	2.278032,	-0.249228

3.680000,	2.245258,	-0.313134

3.720000,	2.244435,	-0.408985

